"SKU","Balance","InOrder"
"96959","2","0"

"96960","6","0"

"96961","1","0"

"96962","2","0"

"96963","3","0"

"96965","6","1"

"96966","3","0"

"96967","9","0"

"96969","2","0"

"96972","3","0"

"96974","1","0"
"96977","50","2"

"99665","13","0"

"96979","3","0"

"99667","22","1"

"96983","6","0"

"96984","5","0"

"96985","8","0"

"96987","3","0"

"99686","9","1"

"99687","13","0"

"97033","52","1"

"97035","27","0"

"97036","54","5"

"97037","34","8"

"97038","2","2"

"97039","48","0"

"97041","25","1"

"97042","14","0"

"97049","9","0"

"97059","10","0"

"97060","55","1"

"97064","5","0"

"97067","12","5"

"97089","25","0"

"97110","7","0"

"97112","60","27"

"97113","11","10"

"97122","8","0"

"97135","15","1"

"97159","172","8"

"97160","139","7"

"97161","118","2"

"97162","36","1"

"97163","41","3"

"97164","15","0"

"97165","13","0"

"97166","20","0"

"97167","19","0"

"97168","47","2"

"97169","157","1"

"97202","3","3"

"97232","2","0"

"97234","10","4"

"97235","20","1"

"97236","5","0"

"97237","29","0"

"97240","27","0"

"97241","17","0"

"97242","16","1"

"97243","1","0"

"97245","9","0"

"97247","3","0"

"97248","18","2"

"97258","14","2"

"97259","8","0"
"97260","25","2"

"97265","11","0"

"97266","39","2"

"97267","21","0"

"97269","13","0"

"97270","45","1"

"97271","39","2"

"97272","12","1"

"97288","1","0"

"97290","103","10"

"97301","15","0"

"97303","34","0"

"97324","6","0"

"97335","47","4"

"97336","20","1"

"97341","1","0"

"97342","124","2"

"97346","27","4"

"97371","153","12"

"97372","51","1"

"97376","98","9"

"97384","78","3"

"97388","22","0"

"97390","42","9"

"97391","87","1"

"97392","66","2"

"97410","3","0"

"97438","28","0"

"97439","22","1"

"97440","29","2"

"97441","13","0"

"97443","11","1"

"97444","18","0"

"97445","26","0"

"97446","19","0"

"97458","29","0"

"97460","30","5"

"97478","3","1"

"97482","12","1"

"97550","16","12"

"97562","72","0"

"97581","10","2"

"97582","14","0"

"97585","60","1"

"97586","31","0"

"97587","27","1"

"97588","13","0"

"97595","256","3"

"97596","163","1"

"97598","77","2"

"97599","75","0"

"97613","244","4"

"97614","87","18"

"97620","4","3"

"97621","31","7"
"97641","3","0"

"97642","4","1"

"97645","4","1"

"97646","3","0"

"97650","3","0"

"97651","1","0"

"97656","3","0"

"97657","4","0"

"97658","2","0"

"97659","1","0"

"97676","105","0"

"97677","157","2"

"97682","22","0"

"97685","14","0"

"97686","737","44"

"97687","746","5"

"97690","185","2"

"97691","37","2"

"97692","352","17"

"97693","202","9"

"97694","311","13"

"97695","532","24"

"97696","124","3"

"97697","301","15"

"97698","149","4"

"97699","107","2"

"95740","1","0"

"95741","22","6"

"95866","13","0"

"95867","10","7"

"95868","11","2"

"95871","39","4"

"96056","27","0"

"96059","4","1"

"96128","36","0"

"96160","26","1"

"96164","49","1"

"96196","154","15"

"96197","15","3"

"96198","7","11"

"96227","2","0"

"96299","6","0"

"96330","116","9"

"96331","3","0"

"96332","6","2"

"96334","7","0"

"96335","2","0"

"96336","79","14"

"96337","21","2"

"96360","1","1"

"96389","46","0"

"96390","10","2"

"96400","34","2"

"96401","39","0"

"96402","75","2"
"96406","21","0"

"96407","19","2"

"96413","65","1"

"96414","16","0"

"96416","16","1"

"96420","16","0"

"96427","3","0"

"96428","6","0"

"96430","5","0"

"96431","11","0"

"96432","13","0"

"96435","11","0"

"96436","9","0"

"96438","14","0"

"96442","4","0"

"96443","11","0"

"96444","8","0"

"96446","5","0"

"96447","11","0"

"96448","5","0"

"96451","21","0"

"96463","3","0"

"96464","3","0"
