"SKU","Balance","InOrder"
"98422","18","0"

"98423","38","0"

"98425","3","2"

"98426","29","0"

"98508","456","2"

"98509","272","0"

"98510","132","1"

"98511","313","0"

"98518","135","0"

"98519","135","1"

"9852","46","7"

"98522","5","1"

"9853","7","0"

"98533","79","3"

"98534","38","11"

"98535","67","5"

"98538","51","4"

"98539","82","3"

"98540","95","7"

"98541","131","14"

"98542","104","18"

"98550","28","4"

"98555","17","1"

"98558","18","3"

"98570","22","4"

"98590","44","5"

"98598","32","1"

"98599","75","7"

"98601","70","4"

"98602","16","2"

"98603","15","4"

"98606","140","2"

"98607","134","8"

"98613","297","8"

"98614","95","3"
"98616","20","1"

"98617","30","5"

"98618","13","5"

"98619","7","2"

"98620","15","2"

"98628","1","0"

"9865","42","2"

"98656","194","7"

"98658","30","7"

"98659","124","8"

"98660","80","2"

"98666","11","5"

"98668","5","0"

"98669","5","0"

"98670","17","0"

"98671","8","0"

"63461","12","2"

"63462","4","0"

"63467","27","4"

"63477","45","1"

"63496","27","1"

"63502","2","0"

"6352","2414","852"

"63570","12","8"

"63583","30","14"

"63592","75","6"

"636","8","0"

"63601","5","0"

"63620","11","1"

"63621","29","12"

"63622","22","0"

"63623","20","3"

"63624","42","44"

"63636","44","0"

"63637","130","2"

"63645","10","0"

"63658","17","0"

"6370","8","0"

"63704","11","0"

"63902","21","0"

"63904","8","0"

"63907","4","0"

"63952","11","1"

"63954","17","11"

"63955","2","0"

"63956","11","0"

"63994","17","14"

"6401","100","11"

"6403","29","17"

"6406","1","1"

"64117","32","3"

"64124","2","4"

"64125","11","0"

"64135","4","0"

"64136","4","0"
"64137","1","1"

"64141","134","57"

"64143","8","0"

"64144","4","0"

"64146","9","4"

"64156","4","0"

"64165","7","0"

"64168","37","2"

"64172","466","224"

"64173","10","2"

"64214","4","1"

"64215","6","0"

"64221","7","0"

"64222","12","7"

"64223","1","0"

"64258","10","2"

"64264","3","0"

"64288","9","0"

"64289","6","1"

"6430","26","6"

"6431","8","1"

"64317","23","4"

"64323","44","32"

"64329","23","0"

"64347","15","1"

"64348","37","3"

"6438","13","1"

"6439","42","7"

"64393","5","0"

"64409","2","0"

"64422","2","0"

"64470","64","0"

"64480","32","6"

"64481","1","0"

"64516","16","0"

"64533","7","0"

"64540","2","0"

"64560","5","3"

"64571","11","2"

"64572","24","23"

"64580","11","0"

"64600","107","3"

"64601","106","2"

"64606","17","3"

"64608","41","1"

